1 | 3 | 1 | 5490.00
1 | 7 | 2 | 3490.00
2 | 2 | 1 | 8990.00
3 | 11 | 1 | 25990.00
4 | 5 | 1 | 5990.00
5 | 14 | 1 | 3490.00
6 | 9 | 1 | 4490.00
7 | 4 | 1 | 12990.00
8 | 10 | 1 | 7990.00
9 | 8 | 1 | 45990.00
10 | 1 | 1 | 1990.00
11 | 13 | 1 | 5490.00
12 | 15 | 1 | 89990.00
13 | 6 | 1 | 4290.00
14 | 12 | 1 | 5990.00
15 | 14 | 1 | 3490.00
16 | 3 | 2 | 5490.00
16 | 5 | 1 | 3490.00
17 | 9 | 1 | 4490.00
18 | 11 | 1 | 25990.00
19 | 7 | 2 | 3490.00
20 | 4 | 1 | 12990.00
2 | 1 | 1 | 1990.00
5 | 6 | 1 | 4290.00
7 | 8 | 1 | 45990.00
9 | 10 | 1 | 7990.00
12 | 12 | 1 | 5990.00
14 | 13 | 1 | 5490.00
17 | 15 | 1 | 89990.00
20 | 2 | 1 | 8990.00
