3 | 2023-05-10 | 14980.00 | Доставлен
7 | 2023-05-15 | 8990.00 | Выполнен
12 | 2023-06-05 | 25990.00 | Доставлен
5 | 2023-06-12 | 5990.00 | Отменен
1 | 2023-06-18 | 3490.00 | Выполнен
18 | 2023-07-03 | 4490.00 | В обработке
9 | 2023-07-22 | 12990.00 | Доставлен
14 | 2023-08-07 | 7990.00 | Выполнен
2 | 2023-08-15 | 45990.00 | Доставлен
6 | 2023-09-01 | 1990.00 | Отменен
16 | 2023-09-10 | 5490.00 | В обработке
10 | 2023-09-28 | 89990.00 | Доставлен
4 | 2023-10-05 | 4290.00 | Выполнен
19 | 2023-10-20 | 5990.00 | Доставлен
8 | 2023-11-02 | 3490.00 | Выполнен
11 | 2023-11-15 | 15980.00 | В обработке
15 | 2023-12-01 | 4490.00 | Доставлен
13 | 2023-12-10 | 25990.00 | Выполнен
17 | 2024-01-05 | 6990.00 | Доставлен
20 | 2024-01-18 | 12990.00 | В обработке
